img,name,direct,geschlecht,id,href,ageGroup,lastnamefirst,federalState,party,job,office
/blueprint/servlet/resource/image/864174/3x4/108/144/1ce6bb504775fa1476c96fa59256fae5/530FF55107E8040A8C94E2CA6E90DFC4/frohnmaier_markus_gross.jpg,Markus Frohnmaier,0,männlich,857304,/abgeordnete/biografien/F/frohnmaier_markus-857304,30 - 34 Jahre,"Frohnmaier, Markus",Baden-Württemberg,AfD,Pressesprecher,<Element p at 0x16e82fe40>
/blueprint/servlet/resource/image/864790/3x4/108/144/d8d56c65b6e571a69816efa4e71ba349/E9DB4E612C6912B672A653ED93A08CAB/skudelny_judith_gross.jpg,Judith Skudelny,0,weiblich,858020,/abgeordnete/biografien/S/skudelny_judith-858020,45 - 49 Jahre,"Skudelny, Judith",Baden-Württemberg,FDP,Rechtsanwältin,<Element p at 0x16eb1b100>
/blueprint/servlet/resource/image/864108/3x4/108/144/8a188b5e63afef1713a51c595397b6b1/025A23A0B581C7D57E46ECD068892C9F/grosse_broemer_michael_gross.jpg,Michael Grosse-Brömer,0,männlich,857344,/abgeordnete/biografien/G/grosse_broemer_michael-857344,60 - 64 Jahre,"Grosse-Brömer, Michael",Niedersachsen,CDU/CSU,Rechtsanwalt,<Element p at 0x1703090c0>
/blueprint/servlet/resource/image/862388/3x4/108/144/aa31e8e1ea98d37015d3e3c1beeb1bf4/1C8CCC9E7B9FFD2C816A02EC6BA1C6C9/schonberger_marlene.jpg,Marlene Schönberger,0,weiblich,860342,/abgeordnete/biografien/S/schoenberger_marlene-860342,30 - 34 Jahre,"Schönberger, Marlene",Bayern,Bündnis 90/Die Grünen,Politikwissenschaftlerin (M. A.),<Element p at 0x1705e4e00>
/blueprint/servlet/resource/image/864936/3x4/108/144/f37b09ee407655a4f7054b0dfb8abace/F9B361EE73F01750EC9FE36852F77765/nietan_dietmar_bild.jpg,Dietmar Nietan,0,männlich,857810,/abgeordnete/biografien/N/nietan_dietmar-857810,55 - 59 Jahre,"Nietan, Dietmar",Nordrhein-Westfalen,SPD,Angestellter,<Element p at 0x1708d7080>
/blueprint/servlet/resource/image/864122/3x4/108/144/bfe0b13e55f36eba3474cfb63090676a/5CEB141423745118655E8C8C0E17D111/gauland_alexander_gross.jpg,Dr. Alexander Gauland,0,männlich,857328,/abgeordnete/biografien/G/gauland_alexander-857328,70 und älter,"Gauland, Dr. Alexander",Brandenburg,AfD,Publizist,<Element p at 0x170baa4c0>
/blueprint/servlet/resource/image/864768/3x4/108/144/9d0aa30c08531ea8fbf427ffe2c7876a/6D77CC4BB7FB3B641DCE160C6631F8DA/stark_watzinger_bettina_gross.jpg,Bettina Stark-Watzinger,0,weiblich,858076,/abgeordnete/biografien/S/stark_watzinger_bettina-858076,55 - 59 Jahre,"Stark-Watzinger, Bettina",Hessen,FDP,Diplom-Volkswirtin,<Element p at 0x16e5c2380>
/blueprint/servlet/resource/image/864106/3x4/108/144/88177197781703b89842ed9284f8cc38/72EBFBD3F9F2DE7CD9CB6B06A8D314D6/gruebel_markus_gross.jpg,Markus Grübel,1,männlich,857360,/abgeordnete/biografien/G/gruebel_markus-857360,60 - 64 Jahre,"Grübel, Markus",Baden-Württemberg,CDU/CSU,Notar,<Element p at 0x16eae2800>
/blueprint/servlet/resource/image/862378/3x4/108/144/b1e5fd898811a29e4f1c56443b9df40/D65DF413482AB8537E8EE6A8E109AC37/schroder_christina-johanne.jpg,Christina-Johanne Schröder,0,weiblich,860816,/abgeordnete/biografien/S/schroeder_christina-860816,40 - 44 Jahre,"Schröder, Christina-Johanne",Niedersachsen,Bündnis 90/Die Grünen,Politikreferentin,<Element p at 0x16e9a5080>
/blueprint/servlet/resource/image/863084/3x4/108/144/56247f2c7d33059d333bd0f3f4999aff/28A2A9E5044CAD04100ED9BF856EAB8B/nuernberger_joerg_bild.jpg,Jörg Nürnberger,0,männlich,860288,/abgeordnete/biografien/N/nuernberger_joerg-860288,55 - 59 Jahre,"Nürnberger, Jörg",Bayern,SPD,Rechtsanwalt,<Element p at 0x16ed4bcc0>
/blueprint/servlet/resource/image/864126/3x4/108/144/9c2746e022617fa61f18c53cda5581d1/224EBAE31AE6EA495DC69E5615526708/glaser_albrecht_gross.jpg,Albrecht Glaser,0,männlich,857350,/abgeordnete/biografien/G/glaser_albrecht-857350,70 und älter,"Glaser, Albrecht",Hessen,AfD,Jurist,<Element p at 0x17063ba80>
